Dia,NORTE,CENTRO,SUL
2023-09-25 00:00:00,3.0,1.25,0.75
2023-09-26 00:00:00,10.25,10.0,4.375
2023-09-27 00:00:00,24.5,20.875,12.375
2023-09-28 00:00:00,2.75,0.0,0.25
2023-09-29 00:00:00,1.75,3.0,0.25
2023-09-30 00:00:00,2.5,2.0,3.0
2023-10-01 00:00:00,1.5,1.25,5.75
2023-10-02 00:00:00,0.0,0.0,0.0
2023-10-03 00:00:00,0.0,0.0,0.0
2023-10-04 00:00:00,27.5,31.75,22.0
2023-10-05 00:00:00,31.5,24.75,15.25
2023-10-06 00:00:00,2.75,6.75,7.25
2023-10-07 00:00:00,43.25,47.0,61.75
2023-10-08 00:00:00,50.25,36.0,30.5
2023-10-09 00:00:00,55.375,57.75,43.125
2023-10-10 00:00:00,4.125,0.0,1.75
2023-10-11 00:00:00,0.375,0.0,0.0
2023-10-12 00:00:00,36.5,39.0,40.625
2023-10-13 00:00:00,17.625,7.625,11.25
2023-10-14 00:00:00,0.0,0.0,0.0
2023-10-15 00:00:00,0.375,0.0,0.375
2023-10-16 00:00:00,2.75,1.125,0.75
2023-10-17 00:00:00,27.125,30.875,34.25
2023-10-18 00:00:00,0.0,0.0,0.125
2023-10-19 00:00:00,0.0,0.0,0.25
2023-10-20 00:00:00,0.0,0.0,0.0
2023-10-21 00:00:00,0.25,0.0,0.0
2023-10-22 00:00:00,0.0,0.0,0.0
2023-10-23 00:00:00,0.0,0.0,0.0
2023-10-24 00:00:00,0.0,0.0,0.0
2023-10-25 00:00:00,0.0,0.0,0.0
2023-10-26 00:00:00,0.0,0.0,0.0
2023-10-27 00:00:00,0.0,0.0,0.0
2023-10-28 00:00:00,4.75,3.25,11.75
2023-10-29 00:00:00,46.0,48.625,37.75
2023-10-30 00:00:00,2.25,0.25,0.0
2023-10-31 00:00:00,12.375,13.0,17.875
2023-11-01 00:00:00,1.25,2.375,3.0
2023-11-02 00:00:00,1.625,1.0,6.0
2023-11-03 00:00:00,30.25,29.0,24.5
2023-11-04 00:00:00,12.875,11.0,14.375
2023-11-05 00:00:00,0.0,0.0,0.0
2023-11-06 00:00:00,0.0,0.0,0.0
2023-11-07 00:00:00,0.0,0.0,0.0
2023-11-08 00:00:00,0.0,0.0,0.0
2023-11-09 00:00:00,0.0,0.0,0.0
2023-11-10 00:00:00,0.0,0.0,0.5
2023-11-11 00:00:00,0.375,0.0,0.625
2023-11-12 00:00:00,5.875,3.0,4.625
2023-11-13 00:00:00,0.0,0.0,0.875
2023-11-14 00:00:00,9.75,17.5625,14.4375
2023-11-15 00:00:00,9.5,5.125,5.375
2023-11-16 00:00:00,12.25,25.125,13.25
2023-11-17 00:00:00,39.25,48.25,25.25
2023-11-18 00:00:00,43.875,29.875,32.375
2023-11-19 00:00:00,1.25,0.0,1.0
2023-11-20 00:00:00,0.0,0.0,0.0
2023-11-21 00:00:00,0.0,0.0,0.0
2023-11-22 00:00:00,0.0,0.0,0.0
2023-11-23 00:00:00,7.0,7.875,13.5
2023-11-24 00:00:00,0.0,0.0,0.0
2023-11-25 00:00:00,0.0,0.0,0.0
2023-11-26 00:00:00,0.0,0.0,0.0
2023-11-27 00:00:00,1.75,0.0625,1.0625
2023-11-28 00:00:00,29.75,29.25,35.125
2023-11-29 00:00:00,82.0,135.5,111.25
2023-11-30 00:00:00,3.125,1.375,1.25
2023-12-01 00:00:00,1.125,0.0,0.0
2023-12-02 00:00:00,0.0,0.0,0.125
2023-12-03 00:00:00,0.75,0.0,0.0
2023-12-04 00:00:00,0.0,0.0,2.25
2023-12-05 00:00:00,3.9375,5.9375,8.75
2023-12-06 00:00:00,11.5,15.875,10.625
2023-12-07 00:00:00,0.5,1.0,0.375
2023-12-08 00:00:00,16.75,20.6875,22.6875
2023-12-09 00:00:00,0.625,0.0,0.0
2023-12-10 00:00:00,2.125,0.0,0.75
2023-12-11 00:00:00,16.25,23.5,17.75
2023-12-12 00:00:00,1.125,0.125,1.3125
2023-12-13 00:00:00,0.625,0.0,0.0
2023-12-14 00:00:00,0.125,0.0,0.0
2023-12-15 00:00:00,0.0,0.0,0.0
2023-12-16 00:00:00,0.0,0.0,0.0
2023-12-17 00:00:00,0.0,0.0,0.25
2023-12-18 00:00:00,0.0,0.0,0.0
2023-12-19 00:00:00,0.0,0.0,0.0
2023-12-20 00:00:00,0.25,0.0,0.0
2023-12-21 00:00:00,0.5,0.0,0.0
2023-12-22 00:00:00,0.0,0.0,0.0
2023-12-23 00:00:00,9.75,18.75,14.125
2023-12-24 00:00:00,0.0,0.0,0.0
2023-12-25 00:00:00,0.0,0.0,0.0
2023-12-26 00:00:00,0.0,0.0,0.0
2023-12-27 00:00:00,,,
2023-12-28 00:00:00,0.0,0.0,0.0
2023-12-29 00:00:00,,,
2023-12-30 00:00:00,0.0,0.0,0.0
2023-12-31 00:00:00,0.0,0.0,0.0
